"modo";"topico";"candidato";"desde";"hasta";"texto";"fecha_debate";"link"
"turno";"presentación";"Sergio Massa";"00:03:53";"00:04:54";"maa muy buenas noches Hoy es una de las noches más importantes de nuestros 40 años de democracia hoy y el domingo 19 de noviembre vamos a decidir quién de los dos va a ser el presidente de los argentinos tenemos por delante la responsabilidad de decidir Quién va a cuidar nuestra salud nuestra seguridad Quién va a cuidar nuestro trabajo y nuestra educación tenemos por delante la responsabilidad de decidir Cómo construimos la Argentina de los próximos 4 años vengo a plantear un gran cambio para la Argentina que es la construcción de un gran acuerdo con políticas de estado con diálogo y consensos pero sobre todas las cosas con el respeto a los que piensan distinto tenemos el desafío por delante de definir los próximos 4 años de quién va a representar a la Argentina frente al mundo y quién va a cuidar a nuestras madres y a nuestros";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"presentación";"Javier Milei";"00:05:00";"00:05:59";"buenas noches Soy Javier Miley soy economista liberal libertario soy especialista en temas de crecimiento económico con y sin dinero Por lo tanto sé cómo hacer crecer a una economía sé cómo crear puestos de trabajo puestos de trabajo de calidad con buenas remuneraciones sé cómo terminar con la pobreza sé cómo terminar con la indigencia y sobre todo las cosas sé como exterminar de una vez por todas el cáncer de la inflación al mismo tiempo mi compañera Victoria villarruel es especialista en temas de seguridad y defensa por lo tanto Somos la fórmula ideal para terminar con los problemas que hoy aquejan a la Argentina que tiene que ver con el estancamiento con la inflación y con la inseguridad pero es bueno que tengan conciencia que es imposible cambiar la realidad haciendo las mismas cosas porque una Argentina distinta es imposible con los mismos de siempre";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:07:08";"00:09:05";"Miley Argentina lleva 100 años de decadencia Argentina inició el siglo XX siendo el país más rico del mundo hoy al tipo de cambio paralelo somos 130 tenemos 45 por de Pobres 10% indigente y una inflación caminando al 300 en la punta con alto riesgo de hiperinflación esto es consecuencia de lo que nosotros denominamos el modelo de la casta el modelo de la casta está basado en una premisa que dice que donde hay una necesidad nace un derecho El problema es que las necesidades son infinitas y los derechos hay que pagarlos y los recursos son finitos eso no es un problema para los economistas de verdad porque eso se resuelve con mercados con propiedad privada y precios libres y sin intervención Estatal Pero eso no es lo que le gusta a la casta polí que le guste intervenir Y eso se manifiesta con déficit fiscal ese déficit fiscal hay que financiarlo de hecho Argentina de los últimos 123 años durante 113 tuvo déficit fiscal y cómo lo financia primero lo financia con deuda una forma inmoral porque carga la cuenta sobre generaciones futuras generaciones que ni siquiera pueden votar y que a la larga siempre terminamos des folte y por eso somos el máximo folador serial de la historia moderna laot que utilizan los políticos suele ser el uso de la maquinita de imprimir billetes o sea ir al Banco Central e imprimir billetes eso genera inflación de hecho le hemos quitado 13 ceros a la moneda tuvimos dos hiperinflaciones sin guerra y vaya que estamos camino a otra y la otra alternativa ya cuando no queda más viene el ajuste el ajuste y que la política siempre lo hace subiendo impuestos jamás bajando el gasto Y eso lo que hace generar presión que hace que sea inviable el sector hace que nos hamos por culpa de la presencia del sector público el estado es el origen del problema no la";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:09:08";"00:09:52";"creo que lo bueno de este debate es que tiene la oportunidad de que cada uno de nosotros podramos exponer y podamos preguntar Javier por sí o por no te quiero preguntar dijiste en el programa de fean que vas a eliminar los subsidios los vas a eliminar sí o no por sí o por no vas a privatizar vaca muerta dijiste en el programa de chich hbl sí o no por sí o por no vas a dolarizar la economía como planteaste en la carta que le presentaste a la justicia electoral sí o no por sí o por no vas a privatizar ríos y mares como planteaste en la carta que presentaste a la justicia en tu programa de gobierno sí o no por sí o por no vas a eliminar el Banco";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:09:53";"00:11:48";"Central A ver primero a mí no me vas a condicionar si contesto sí o no lo que sí te voy a decir Es que sabes qué ustedes estuvieron mintiendo con los subsidios ustedes son unos mentirosos vos sos un mentiroso en engañar y asustar a la gente de cómo lo hiciste Y te voy a explicar por qué Porque el boleto Sí si vos agarrá sí y te fijas dado lo que cubre hoy cubre una sexta parte por lo tanto digamos primero tendrías que multiplicarlo por seis o sea con lo cual no te vas a 1007 te vas a 350 aproximadamente con lo cual mentiste ahí pero Además nosotros queremos atacar además la parte que tiene que ver con los impuestos con lo cual lo llevaría a la mitad y te voy a decir algo No no vamos a tocar las tarifas sabes por qué Porque antes vamos a permitir que la economía se recupere y cuando la economía se recupere la economía va a poder pagar esas tarifas Y sabes cuál es el problema tuyo que vos sabes qué nos reventaste los ingresos con vos como ministro de economía cayó 33 por los ingresos que ya venían cayendo antes con macri y te voy a decir más sabes qué si tuviéramos los mismos ingresos que teníamos la convertibilidad igual de antes de terar la miseria que tenemos ahora con vos de 350,000 pes sabes qué tendríamos 1,800000 Mirá la miseria que generaste después digamos sabes qué sí voy a terminar con el Banco Central porque el Banco Central es el origen de la inflación es decir es la maquinita sabes por qué voy a terminar con la inflación porque es la forma en la cual ustedes nos roban a nosotros sabes cuántos nos robaron ustedes con la emisión monetaria en los más de 20 años que des salimos la compartibilidad 280,000 millones de dólares de hecho el gobierno delincuentes en el que vos participá nos están robando 90,000 millones de dólares este año Te estás llevando de esa manera 25,000 millones de dólares a quién querés seguir jodiéndolo la vida con robarnos con la inflación Obviamente el tema de vaca muerta digamos es una cuestión provincial yo no me tengo que meter y creo que te contesté todo de la privatización de los mares ni siquiera sabes extrapolar un caso de teoría económica dado en una charla para economistas tiempo por favor muy bien";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:11:59";"00:12:01";"di respuesta no me puse agresivo y creo";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:12:02";"00:12:24";"que y creo que si hay algo que esperan los argentinos es que el 10 de diciembre gobierne quien gobierne nos demos la construcción de políticas de estado atacando agraviando faltando el respeto no lo vas a construir te vuelvo a preguntar por sí o por no vas a dolarizar la economía vas a eliminar los";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:12:25";"00:13:13";"agredí no mient deja de mentir deja de mentir No te agredí solamente Expreso con pasión la indignación que genera un gobierno que nos viene destrozando la vida a todos pensá que si estuviéramos como la convertibilidad tendríamos un ingreso promedio de 00 o 1,800000 al tipo de cambio paralelo y no esta miseria que tenemos hoy sí voy a eliminar el Banco Central porque el Banco Central es lo que genera la inflación y subio ya te lo expliqué di te lo tengo que volver a explicar no lo entendiste dije que no lo voy a tocar Bueno dije que no lo voy a tocar en lugar de tanto esto por qué no explicá vos cuáles son tus propuestas porque no se te escuchó ninguna propuesta a ver digamos hablar en serio Y hac vos alguna propuesta y a ver qué decimos tengo";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:13:01";"00:13:03";"entendiste dije que no lo voy a tocar";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:13:14";"00:13:27";"todavía un largo tiempo por los 4 minutos 40 que me quedan pero o mentiste en lo de fman o mentís esta noche porque dijiste que ibas a eliminar todos los subsidios Te acabo de explicar cómo lo";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:13:28";"00:14:06";"voy a hacer o sea Porque además quizás no lo sabés pero vos sabías que los ajustes de tarifa tampoco los podrías dar todos junto porque la Corte Suprema te lo rechaza entonces o sea eso de estar fraccionando videítos y esas cosas para generar mentiras Yo entiendo que te funcione la campaña de miedo y todo eso pero dej de mentirle a la gente es decir vamos y hablemos con la verdad sabes qué vamos primero vamos a hacerle cargar el ajuste al estado O sea tus amigos pero no solo eso sino que además cuando se recupere la economía vamos a tocar tarifas cosa que vos también tocas las tarifas es porque vos te decís que no y y después cuando se te terminó la nafta la";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:14:07";"00:14:31";"desgraciadamente todavía no hemos conseguido saber si los subsidios a los jubilados si los subsidios en lo que es el sistema de transporte si los subsidios en lo que es el sistema de créditos si los subsidios en lo que es el sistema de viviendas vas a eliminarlos o no y hay";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:14:32";"00:14:34";"que no O sea que le mentiste a fean No yo no";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:14:36";"00:14:42";"Le mentí a fean lo que pasa que las respuestas no son como vos querés de sí o por no diamos tienen toda una";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:14:43";"00:15:22";"desgraciadamente a lo largo de toda la campaña escuchamos a este candidato hablar de motosierra eliminando subsidios que representan entre otras cosas la suba del 300 por de las tarifas que representan entre otras cosas la suba del 400 del boleto de tren y de colectivo que representan entre otras cosas la eliminación de los programas de atención contra el cáncer que representan entre otras cosas el recorte en 83000 pesos a cada jubilado y jubilada a cuál le creemos al que mintió en lo de fman o el que miente esta";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:15:33";"00:15:37";"fueras Pinocho ya me hubieras lastimado un";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:15:38";"00:16:18";"Javier entiendo que hiciste tu carrera más que como economista como standupero de televisión pero desgraciadamente lo que está en juego Hoy es el futuro de los argentinos Quién va a representar a la Argentina frente al mundo quién se va a sentar con las centrales de trabajadores se va a sentar con los empresarios a diseñar la política de crecimiento y desgraciadamente lo que vemos es que o te contradecían la base que le presentaste a la justicia electoral y le mentiste a la justicia lo cual es grave o te contradecía noche Yo los invito en casa a poner en Google lo que dice mi ley y lo van a ver yo los invito a que";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:16:19";"00:16:25";"miren en Google los videos completos y no el que los brasileros le editan para hacer campaña";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:16:26";"00:16:38";"desgraciadamente estamos frente a alguien que o mintió toda la campaña o miente esta noche Yo quiero volver a reiterar vas a dolarizar o no la";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:16:39";"00:16:44";"economía vamos a cerrar el Banco Central vamos a tener terminar con el cáncer del";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:16:45";"00:18:12";"inflación Bueno muy bien Voy a tratar de contarle a los argentinos primero Qué significa lo que acaba de decir y después Cuáles son nuestras propuestas en primer lugar la dolarización que propone la tiene zimbabwe por ejemplo y la eliminación del Banco Central la tiene micronesia ya lo planteó Patricia bulrich en otro debate desgraciadamente la salida de Argentina no es como plantea este señor haciendo una apropiación del ahorro de la gente en nombre de la dolarización la salida de Argentina es con aumento de exportaciones la salida de Argentina es con los 40000 millones de dólares más que vamos a exportar el año que viene la salida de ara es con la construcción de trabajo sobre la base de mejores ingresos la salida de Argentina es con un acuerdo de unidad nacional que nos permita la reducción del sistema de impuestos incluidas las retenciones la salida de Argentina es un camino sobre la simplificación tributaria para que nuestras pymes y nuestros comercios no tengan que andar haciendo un curso para pagar impuestos la salida de Argentina no es sobre la base de plantear el recorte de 80.000 pesos por mes en cada jubilado mucho menos sobre la vuelta de las afjp como ha planteado este señor en su propuesta a la justicia electoral vuelven o no las";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Javier Milei";"00:18:13";"00:18:22";"digamos O sea que no se aplique en otro lugar vos en la asamblea del año 13 hubieras votado a favor de la esclavitud";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
"turno";"economia";"Sergio Massa";"00:18:30";"00:19:32";"desgraciadamente plantea la vuelta de las afjp le quiero contar a cada jubilado Y jubilada de lo que eso significa hoy en la Argentina hay 21,750 jubilados de afjp cobran entre 5 y 20.000 pesos y tuvo que ir el estado en Socorro de esos perjudicados por ese sistema que destruyó el sistema jubilatorio la Argentina lo que necesita es rediscutir su programa con el fondo que es inflacionario aumentar su programa de desarrollo exportador mejorar la distribución del ingreso y bajar impuestos sobre la base de un gran acuerdo Pero además con cuatro premisas muy claras a partir del 10 de diciembre vamos al superávit fiscal vamos al superávit comercial vamos a un régimen de competitividad cambiaria y vamos a un régimen de acumulación de reservas que nos permita ir pagándole al fondo para sacarlo de la Argentina Cada vez que el fondo vino a la Argentina le fue mal bien De";"2023-11-12";"https://www.youtube.com/watch?v=pn2zTU38gcM"
